id,name,day,stage,genres
friday--melodia-by-corona--spies,SPIES,friday,MELODIA BY CORONA,Melodic Techno
friday--moose-bar--jo-cox,Jo Cox,friday,MOOSE BAR,Tech House
friday--moose-bar--prosit,Prosit,friday,MOOSE BAR,Hardstyle
friday--moose-bar--the-bobmeister,The Bobmeister,friday,MOOSE BAR,Melodic Techno
friday--planaxis--avalon,Avalon,friday,PLANAXIS,Psytrance
friday--planaxis--beat-controllers,Beat Controllers,friday,PLANAXIS,Hardstyle
friday--planaxis--blastoyz,Blastoyz,friday,PLANAXIS,Psytrance
friday--planaxis--blazy,Blazy,friday,PLANAXIS,Psytrance
friday--planaxis--domi-re,Domi Re,friday,PLANAXIS,Melodic Techno
friday--planaxis--electric-universe,Electric Universe,friday,PLANAXIS,Psytrance
friday--planaxis--firaga,Firaga,friday,PLANAXIS,Psytrance
friday--planaxis--locus,Locus,friday,PLANAXIS,Psytrance
friday--planaxis--phaxe,Phaxe,friday,PLANAXIS,Psytrance
friday--planaxis--somnia,Somnia,friday,PLANAXIS,Psytrance
friday--planaxis--vegas,Vegas,friday,PLANAXIS,Psytrance
friday--planaxis--vitor-falabella,Vitor Falabella,friday,PLANAXIS,Tech House
friday--the-great-library--5napback,5NAPBACK,friday,THE GREAT LIBRARY,Dance-Pop | Big Room / EDM
friday--the-great-library--alan-walker,Alan Walker,friday,THE GREAT LIBRARY,Dance-Pop | Big Room / EDM
friday--the-great-library--b-jones,B Jones,friday,THE GREAT LIBRARY,Tech House | House
friday--the-great-library--halo,HALŌ,friday,THE GREAT LIBRARY,Melodic Techno
friday--the-great-library--illenium,Illenium,friday,THE GREAT LIBRARY,Dubstep / Bass
friday--the-great-library--kaskade,Kaskade,friday,THE GREAT LIBRARY,House | Progressive House | Deep House
friday--the-great-library--mandy,MANDY,friday,THE GREAT LIBRARY,Hardstyle
friday--the-great-library--meaghan,Meaghan,friday,THE GREAT LIBRARY,Melodic Techno
friday--the-great-library--merow,Merow,friday,THE GREAT LIBRARY,Tech House
friday--the-great-library--nome,NOME.,friday,THE GREAT LIBRARY,Melodic Techno
friday--the-great-library--omdat-het-kan-average-rob,Omdat Het Kan & Average Rob,friday,THE GREAT LIBRARY,Trap / Hip-Hop | Hardstyle | Dance-Pop
friday--the-great-library--regi,Regi,friday,THE GREAT LIBRARY,Dance-Pop | Big Room / EDM | Hardstyle
friday--the-rave-cave--bisoux-b2b-jef-nice,Bisoux b2b Jef Nice,friday,THE RAVE CAVE,Techno
friday--the-rave-cave--leesa,Leesa,friday,THE RAVE CAVE,Techno | Deep House
friday--the-rave-cave--lou8,Lou8,friday,THE RAVE CAVE,Melodic Techno
friday--the-rave-cave--mairee,Mairee,friday,THE RAVE CAVE,Big Room / EDM | Dance-Pop
friday--the-rave-cave--mr-joy,Mr. Joy,friday,THE RAVE CAVE,Tech House
friday--the-rave-cave--xijaro-pitch,Xijaro & Pitch,friday,THE RAVE CAVE,Trance
friday--the-rose-garden--alleycvt,ALLEYCVT,friday,THE ROSE GARDEN,Dubstep / Bass
friday--the-rose-garden--basstripper,Basstripper,friday,THE ROSE GARDEN,Drum & Bass
friday--the-rose-garden--borgore,Borgore,friday,THE ROSE GARDEN,Dubstep / Bass
friday--the-rose-garden--bou-b-live-247,BOU + B LIVE 247,friday,THE ROSE GARDEN,Drum & Bass
friday--the-rose-garden--ghengar,Ghengar,friday,THE ROSE GARDEN,Dubstep / Bass
friday--the-rose-garden--goddard,Goddard,friday,THE ROSE GARDEN,Drum & Bass
friday--the-rose-garden--jessica-audiffred,Jessica Audiffred,friday,THE ROSE GARDEN,Dubstep / Bass
friday--the-rose-garden--licia,LICIA,friday,THE ROSE GARDEN,Melodic Techno
friday--the-rose-garden--lucky-luke,Lucky Luke,friday,THE ROSE GARDEN,Tech House | Dance-Pop
friday--the-rose-garden--riot-ten,Riot Ten,friday,THE ROSE GARDEN,Dubstep / Bass | Hardcore / Uptempo
friday--the-rose-garden--shawiya-tribe,Shawiya Tribe,friday,THE ROSE GARDEN,Drum & Bass
friday--the-rose-garden--sullivan-king,Sullivan King,friday,THE ROSE GARDEN,Dubstep / Bass
saturday--atmosphere--2hot2play,2hot2play,saturday,ATMOSPHERE,Tech House
saturday--atmosphere--emilija-b2b-fenrick,EMILIJA b2b Fenrick,saturday,ATMOSPHERE,Melodic Techno
saturday--atmosphere--i-hate-models,I Hate Models,saturday,ATMOSPHERE,Hard Techno
saturday--atmosphere--kneiz,Kneiz,saturday,ATMOSPHERE,Melodic Techno
saturday--atmosphere--noise-mafia,Noise Mafia,saturday,ATMOSPHERE,Hardstyle
saturday--atmosphere--novah,Novah,saturday,ATMOSPHERE,Hard Techno
saturday--atmosphere--pegassi,Pegassi,saturday,ATMOSPHERE,Hard Techno | Trance
saturday--cage--iosio,IOSIO,saturday,CAGE,Melodic Techno
saturday--cage--macon,Macon,saturday,CAGE,Hard Techno | House
saturday--cage--mero-b2b-daire,Mero b2b Daire,saturday,CAGE,Tech House
saturday--cage--mondello,Mondello,saturday,CAGE,Hard Techno
saturday--cage--niotech,Niotech,saturday,CAGE,Techno
saturday--cage--rune-evens,Rune Evens,saturday,CAGE,Hardstyle
saturday--cage--stanne,Stanne,saturday,CAGE,Melodic Techno
saturday--cage--uberjak-d-feat-ella-young,Uberjak'd feat Ella Young,saturday,CAGE,House | Hardstyle
saturday--cage--x-trick,X&Trick,saturday,CAGE,Psytrance
saturday--celestia-by-kucoin--bingo-players-with-iceman,Bingo Players with Iceman,saturday,CELESTIA BY KUCOIN,House
saturday--celestia-by-kucoin--chocolate-puma,Chocolate Puma,saturday,CELESTIA BY KUCOIN,House | Tech House
saturday--celestia-by-kucoin--dada-life,Dada Life,saturday,CELESTIA BY KUCOIN,House | Big Room / EDM
saturday--celestia-by-kucoin--dannic-b2b-dyro,Dannic b2b Dyro,saturday,CELESTIA BY KUCOIN,House | Big Room / EDM
saturday--celestia-by-kucoin--gregor-salto,Gregor Salto,saturday,CELESTIA BY KUCOIN,House
saturday--celestia-by-kucoin--lny-tnz-jump-never-dies-take-over,LNY TNZ: Jump Never Dies (Take-Over),saturday,CELESTIA BY KUCOIN,Hardstyle
saturday--celestia-by-kucoin--odssey,Odssey,saturday,CELESTIA BY KUCOIN,Tech House
saturday--celestia-by-kucoin--sander-van-doorn,Sander van doorn,saturday,CELESTIA BY KUCOIN,Trance | House
saturday--celestia-by-kucoin--swanky-tunes,Swanky Tunes,saturday,CELESTIA BY KUCOIN,House | Big Room / EDM
saturday--celestia-by-kucoin--yamo,Yamo,saturday,CELESTIA BY KUCOIN,Melodic Techno
saturday--core--dino-lenny-b2b-radioslave,Dino Lenny b2b Radioslave,saturday,CORE,Techno | House
saturday--core--haai-b2b-the-blessed-madonna,HAAi b2b The Blessed Madonna,saturday,CORE,House | Techno
saturday--core--shee,SHEE,saturday,CORE,House | Deep House
saturday--crystal-garden--ayybo-b2b-odd-mob,Ayybo b2b Odd Mob,saturday,CRYSTAL GARDEN,Tech House
saturday--crystal-garden--guz,GUZ,saturday,CRYSTAL GARDEN,Tech House | House
saturday--crystal-garden--hi-lo-b2b-layton-giordani,HI-LO b2b Layton Giordani,saturday,CRYSTAL GARDEN,Techno
