id,name,day,stage,genres
saturday--the-great-library--zhu,ZHU,saturday,THE GREAT LIBRARY,Deep House
saturday--the-rave-cave--flowchief,Flowchief,saturday,THE RAVE CAVE,Melodic Techno
saturday--the-rave-cave--jorn-pricez,Jorn Pricez,saturday,THE RAVE CAVE,Tech House
saturday--the-rave-cave--justin-wilkes,Justin Wilkes,saturday,THE RAVE CAVE,Hardstyle
saturday--the-rave-cave--netherworld,Netherworld,saturday,THE RAVE CAVE,Techno
saturday--the-rave-cave--pat-krimson,Pat Krimson,saturday,THE RAVE CAVE,Retro / Classics | Trance
saturday--the-rave-cave--roma,Roma,saturday,THE RAVE CAVE,Melodic Techno
saturday--the-rave-cave--simon-b,Simon B,saturday,THE RAVE CAVE,Tech House
saturday--the-rose-garden--bountyhunter,BountyHunter,saturday,THE ROSE GARDEN,Retro / Classics | Hardcore / Uptempo
saturday--the-rose-garden--cherry-moon-legends-friends,Cherry Moon Legends (& Friends),saturday,THE ROSE GARDEN,Retro / Classics | Trance
saturday--the-rose-garden--danny-corten,Danny Corten,saturday,THE ROSE GARDEN,Retro / Classics | Trance
saturday--the-rose-garden--dimitri-cooman,Dimitri Cooman,saturday,THE ROSE GARDEN,Retro / Classics | Trance
saturday--the-rose-garden--dj-ghost,DJ Ghost,saturday,THE ROSE GARDEN,Retro / Classics | Hardcore / Uptempo | Hardstyle
saturday--the-rose-garden--franky-kloeck,Franky Kloeck,saturday,THE ROSE GARDEN,Retro / Classics | Trance
saturday--the-rose-garden--jamie-dill,Jamie Dill,saturday,THE ROSE GARDEN,Melodic Techno
saturday--the-rose-garden--maite-dedecker,Maite Dedecker,saturday,THE ROSE GARDEN,Big Room / EDM
saturday--the-rose-garden--quincy,Quincy,saturday,THE ROSE GARDEN,Retro / Classics | Trance
saturday--the-rose-garden--youri-parker,Youri Parker,saturday,THE ROSE GARDEN,Retro / Classics | Trance
sunday--atmosphere--adrian-mills,Adrián Mills,sunday,ATMOSPHERE,Hard Techno
sunday--atmosphere--alycia-bezgo-b2b-biianco,Alycia Bezgo b2b Biianco,sunday,ATMOSPHERE,Techno | Hard Techno
sunday--atmosphere--kobosil,Kobosil,sunday,ATMOSPHERE,Hard Techno
sunday--atmosphere--mirage,Mirage,sunday,ATMOSPHERE,Melodic Techno
sunday--atmosphere--nikolina,Nikolina,sunday,ATMOSPHERE,Melodic Techno
sunday--atmosphere--portex,Portex,sunday,ATMOSPHERE,Melodic Techno
sunday--atmosphere--riana-holley,Riana Holley,sunday,ATMOSPHERE,Techno
sunday--atmosphere--trym,Trym,sunday,ATMOSPHERE,Hard Techno | Trance
sunday--cage--amalie,Amalie,sunday,CAGE,Melodic Techno
sunday--cage--amotik,Amotik,sunday,CAGE,Techno
sunday--cage--blasha-allatt,Blasha & Allatt,sunday,CAGE,Techno
sunday--cage--freddy-k,Freddy K,sunday,CAGE,Techno
sunday--cage--netty-hugo,Netty Hugo,sunday,CAGE,Melodic Techno
sunday--cage--quelza,Quelza,sunday,CAGE,Techno
sunday--celestia-by-kucoin--bella-claxton-b2b-paige-tomlinson,Bella Claxton b2b Paige Tomlinson,sunday,CELESTIA BY KUCOIN,Techno
sunday--celestia-by-kucoin--hu,HU,sunday,CELESTIA BY KUCOIN,Melodic Techno
sunday--celestia-by-kucoin--kyle-starkey,Kyle Starkey,sunday,CELESTIA BY KUCOIN,Melodic Techno
sunday--celestia-by-kucoin--lisa-korver,Lisa Korver,sunday,CELESTIA BY KUCOIN,Tech House
sunday--celestia-by-kucoin--mendosa,Mendosa,sunday,CELESTIA BY KUCOIN,Melodic Techno
sunday--celestia-by-kucoin--morgan-seatree,Morgan Seatree,sunday,CELESTIA BY KUCOIN,Melodic Techno
sunday--celestia-by-kucoin--newtone,Newtone,sunday,CELESTIA BY KUCOIN,Melodic Techno
sunday--core--benwal-b2b-labat,Benwal b2b Labat,sunday,CORE,House | Techno
sunday--core--catalina,Catalina,sunday,CORE,Big Room / EDM
sunday--core--helena-lauwaert,Helena Lauwaert,sunday,CORE,Melodic Techno
sunday--core--kellar,Kellar,sunday,CORE,Melodic Techno
sunday--core--lammer,Lammer,sunday,CORE,Tech House
sunday--core--malugi,Malugi,sunday,CORE,Trance | Hard Techno
